model,lambda_c,fold,strategy,n_interventions,accuracy,run_id,run_name,source_summary_key
CEM,0.5,2,random,8,0.8251897217414459,a1vgqoel,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_2,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,2,random,9,0.8253228598056185,a1vgqoel,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_2,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,2,random,10,0.825455997869791,a1vgqoel,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_2,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,2,random,11,0.8259885501264812,a1vgqoel,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_2,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,2,random,12,0.8263879643189987,a1vgqoel,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_2,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,2,random,13,0.826920516575689,a1vgqoel,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_2,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,2,random,14,0.8270536546398616,a1vgqoel,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_2,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,2,random,15,0.8274530688323791,a1vgqoel,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_2,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,2,random,16,0.8271867927040341,a1vgqoel,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_2,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,2,random,17,0.8277193449607243,a1vgqoel,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_2,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,3,random,0,0.8237252030355479,6iq7oyyp,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_3,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,3,random,1,0.8239914791638929,6iq7oyyp,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_3,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,3,random,2,0.8242577552922381,6iq7oyyp,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_3,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,3,random,3,0.8241246172280655,6iq7oyyp,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_3,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,3,random,4,0.8241246172280655,6iq7oyyp,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_3,interv/random_group_level_True_use_prior_False/curve_table
CEM,0.5,3,random,5,0.8241246172280655,6iq7oyyp,CEM_adam_lr1e-03_bs512_lam_c0.5_fold_3,interv/random_group_level_True_use_prior_False/curve_table
